t,lateral_acc_mag,jerk_mag,risk_rate,torque_norm
2.2620,18.217766,41164.065368,39714.013484,124.4664
2.2640,2.892611,9201.573170,18234.015403,93.7355
2.2660,27.093626,41227.278904,29564.815586,174.5502
2.2680,25.867962,46625.676235,52892.723468,89.7442
2.2700,55.888734,33223.521812,66501.785311,124.4973
2.2720,21.421717,52518.655753,73361.382149,141.8741
2.2740,17.971943,41312.808188,39403.893484,124.1488
2.2760,21.382521,41283.935972,39379.960382,154.4216
2.2780,17.933271,41291.150482,39320.160014,105.6408
2.2800,48.590289,46621.989292,56991.827009,130.5537
2.2820,28.125176,53741.965651,76571.985592,152.2740
2.2840,29.303492,47533.483660,57360.936041,132.2749
2.2860,28.151657,47562.899265,57410.739668,147.6141
2.2880,22.758592,23839.660647,47685.194256,114.1616
2.2900,22.303385,41131.318420,37699.227621,163.0993
2.2920,18.699882,41822.889682,41008.110592,107.4729
2.2940,27.702370,18115.071367,36232.301145,62.8842
2.2960,19.086042,41722.485899,37741.920844,171.8725
2.2980,16.085423,40599.902051,35102.175189,55.1125
2.3000,5.397680,7577.725063,15098.691882,130.4443
2.3020,22.680505,39492.039030,27333.418090,126.0006
2.3040,18.905213,41679.433910,41608.948700,126.9619
2.3060,5.898416,10538.292621,20954.049210,29.6493
2.3080,39.206913,44290.425537,40458.659846,175.0126
2.3100,16.194553,47322.655038,55055.813428,23.5394
2.3120,18.776360,40517.584483,34925.454477,175.0091
2.3140,16.159237,40532.903173,34863.142266,40.4232
2.3160,5.701186,7486.497137,14913.780208,124.9179
2.3180,14.591298,36788.695581,13554.681187,89.6786
2.3200,19.229733,35607.424701,10959.437566,164.6598
2.3220,22.573392,41753.956877,41821.189163,91.7330
2.3240,19.258288,41790.636576,41819.296399,154.3318
2.3260,22.595835,41792.135565,41868.810179,93.3408
2.3280,19.280305,41825.441114,41857.962761,152.0486
2.3300,5.865755,10687.915911,21271.369392,91.7279
2.3320,29.753018,38835.389988,26138.818837,156.3164
2.3340,18.149667,42177.759332,45373.064001,84.2022
2.3360,24.531961,15373.707269,30729.338913,118.6996
2.3380,27.184712,45357.972159,48929.197566,162.3710
2.3400,26.028728,46689.025083,53134.904888,111.9406
2.3420,19.993225,21224.235846,42412.969186,139.0494
2.3440,21.671506,39870.481357,33676.985929,143.3597
2.3460,18.279619,41227.492691,39946.958832,132.9131
2.3480,3.086608,9227.454891,18288.747950,100.6263
2.3500,18.695853,38948.803051,19724.329258,174.6723
2.3520,15.546715,40565.481464,34206.500817,95.9734
2.3540,23.249849,14718.948849,29419.269542,44.3828
2.3560,21.611004,41192.979392,34765.998054,174.8919
2.3580,18.086294,41395.146860,39713.518085,27.6238
2.3600,2.888004,8982.706849,17860.020943,126.6944
2.3620,19.168271,38734.495045,20373.409998,124.4699
2.3640,15.855370,40437.907792,35027.976400,124.9566
2.3660,38.578652,11813.372344,23410.658213,124.3770
2.3680,21.617150,48548.848070,60201.980252,141.9122
2.3700,17.970158,41264.981972,39609.754298,124.3945
2.3720,29.281310,42658.942739,41973.162771,153.9644
2.3740,16.121638,43338.325111,44010.089123,104.4342
2.3760,19.202902,40533.245859,35276.309451,154.9556
2.3780,16.141213,40546.939038,35275.370231,91.4096
2.3800,19.212182,40525.837521,35301.131248,156.5644
2.3820,16.155796,40537.319693,35292.388004,91.3316
2.3840,26.115878,17166.826041,34299.879022,122.0300
2.3860,22.901947,42458.499581,40097.649133,159.0411
2.3880,19.141613,41958.676639,42054.794302,115.2784
2.3900,5.800333,10500.181256,20924.762462,142.9464
2.3920,39.679363,44146.820137,41223.335125,136.8364
2.3940,16.651607,47268.719514,56028.677165,141.5056
2.3960,19.398784,40388.547824,36026.103595,139.5610
2.3980,16.693285,40424.518996,36046.590313,141.9428
2.4000,5.870250,7924.749295,15717.141857,102.5983
2.4020,34.201602,42464.366664,40107.606342,120.7821
2.4040,19.372455,44302.221779,50791.347445,133.7113
2.4060,5.923220,10618.967538,21102.718371,39.8190
2.4080,29.183479,41931.341346,34245.835704,174.9082
2.4100,28.309562,47695.293842,57411.380710,45.4822
