t,lat_acc,jerk,lat_jerk,risk_rate
4.2860,2.015361,20657.818577,10020.800968,18039.457103
4.2880,2.171836,16104.665265,15394.763579,27712.746278
4.2900,1.894552,25419.346914,21032.569165,37860.519049
4.2920,2.082564,23276.889839,11994.005526,21591.292510
4.2940,1.708806,8596.415070,8543.614836,15380.215512
4.2960,2.508065,27896.412174,16503.971179,29709.656186
4.2980,1.578783,30856.190475,22364.027732,40256.828701
4.3000,2.578457,27939.834560,23200.419214,41763.333041
4.3020,1.465381,29449.033769,27741.720222,49936.561779
4.3040,2.199753,24503.443386,22748.400322,40949.320333
4.3060,1.515536,28712.694267,19103.193117,34387.263147
4.3080,2.119390,26064.208511,21479.238878,38664.749370
4.3100,1.400358,26062.955289,21477.947613,38661.706061
4.3120,2.055675,26062.007335,21478.608019,38663.550109
4.3140,1.163384,20994.662501,20567.912476,37023.405840
4.3160,2.048107,29201.833703,24088.787414,43361.865453
4.3180,1.256335,28230.547230,26379.044518,47483.536468
4.3200,2.099562,28232.220145,26383.967221,47493.240560
4.3220,1.189923,27950.587397,23243.602491,41839.674408
4.3240,1.967945,20697.719211,20549.328796,36990.759777
4.3260,1.047344,26513.184626,25504.954625,45909.965669
4.3280,1.867327,31402.469913,29504.108512,53109.262649
4.3300,0.966187,27952.750060,23257.760923,41864.935849
4.3320,2.011290,27950.106975,23262.514665,41874.537687
4.3340,0.898290,29471.503566,27808.518659,50056.231875
4.3360,1.915205,29475.255054,27814.310578,50067.674246
4.3380,0.862931,29473.865746,27815.577315,50068.902098
4.3400,1.617621,24540.468652,22747.167656,40946.519402
4.3420,1.642140,23071.323742,11489.048916,20681.930188
4.3440,1.563614,18936.370067,14772.450564,26591.974629
4.3460,1.546309,18940.538257,14784.043835,26612.825213
4.3480,1.536114,18938.480067,14790.138196,26623.784867
4.3500,1.352386,10866.460898,8207.500096,14774.852559
4.3520,1.524684,22599.418862,9892.335375,17807.728358
4.3540,1.316347,24200.852065,19350.242813,34831.753410
4.3560,1.427140,24205.399139,19359.591568,34848.691963
4.3580,1.234815,22621.936720,9916.064450,17850.150825
4.3600,1.285573,3507.864681,3223.162032,5802.977231
4.3620,1.146127,13031.202009,11123.095597,20022.718201
4.3640,1.254127,19159.298394,15554.448913,27999.262171
4.3660,1.174331,18636.525335,13739.716355,24732.663770
4.3680,1.237535,18640.224956,13747.920096,24747.493708
4.3700,0.934091,19566.121175,6942.159874,12496.821864
4.3720,0.973591,5869.841526,5834.375865,10502.850148
4.3740,0.948366,24541.077255,1700.383395,3061.638476
4.3760,0.972139,23893.375273,4291.508067,7725.686660
4.3780,1.059828,18273.044273,5166.835470,9301.363674
4.3800,0.989280,18960.737054,14897.097013,26815.763903
4.3820,0.890473,12782.239639,12128.882389,21832.878774
4.3840,1.063042,12780.578712,12132.713460,21839.947269
4.3860,0.886773,18967.305680,14925.868279,26867.449675
4.3880,0.939424,18285.423080,5228.248416,9411.786573
4.3900,0.943478,11317.018665,10713.699639,19285.602828
4.3920,0.957843,20903.806247,15237.424594,27428.322113
4.3940,0.772924,19258.201140,5725.904981,10307.401890
4.3960,0.918583,9764.594700,9443.451216,16999.130772
4.3980,0.866848,22979.584005,16065.375838,28918.543357
4.4000,0.991858,24837.962535,20777.346944,37400.216357
4.4020,0.834720,24845.017540,20789.609513,37422.131843
4.4040,0.944621,22146.402716,18135.062536,32644.057186
4.4060,0.816726,19231.970151,15243.554421,27439.214684
4.4080,0.887388,18278.948665,5317.435666,9572.271586
4.4100,0.897461,12742.386401,11948.350438,21507.928251
4.4120,0.893944,21330.998743,16499.138671,29699.343551
4.4140,0.704526,19290.641536,5798.648216,10438.271316
4.4160,0.765490,5059.248565,5033.849331,9061.694285
4.4180,0.596399,24789.735425,4123.421843,7422.755717
4.4200,0.805046,24857.313391,7744.454796,13940.823679
4.4220,0.684494,19425.527416,7887.960858,14199.014039
4.4240,0.863911,19903.282021,15955.591136,28720.927956
4.4260,0.640903,19913.632479,15973.334862,28752.643655
4.4280,0.933409,19910.373382,15974.498095,28755.029979
4.4300,0.630184,13010.608558,10964.391646,19736.535147
4.4320,0.921202,24080.252882,13363.711798,24055.602438
4.4340,0.734440,25577.160615,21293.813413,38329.598583
4.4360,0.918181,25586.615111,21307.159981,38353.806146
4.4380,0.834756,25581.276935,21300.591626,38341.899683
4.4400,0.915746,15209.170123,14967.604891,26942.604550
4.4420,0.571772,17487.493399,7691.660239,13845.560202
4.4440,0.998033,19945.090843,16049.628917,28890.330084
4.4460,0.588075,19959.357904,16073.076030,28932.124929
4.4480,0.862692,19467.398385,8048.438808,14488.052546
4.4500,0.476438,8333.282793,8252.240834,14854.509939
4.4520,1.001205,13614.085711,12089.029051,21761.253497
4.4540,0.585750,21968.537511,18083.093738,32550.154479
4.4560,0.610592,18271.766794,5549.488202,9989.689356
4.4580,0.672589,23723.784368,4456.171021,8021.780426
4.4600,0.677165,23723.279455,4458.905619,8026.707279
4.4620,0.674718,18254.766565,5568.275844,10023.571238
4.4640,0.762935,19054.582861,15207.409230,27374.099549
4.4660,0.626658,11253.994644,8494.609995,15290.924649
4.4680,1.185880,24062.864825,14222.468800,25601.629721
4.4700,1.010292,26021.713111,22240.250626,40033.461420
4.4720,1.150900,24109.147138,19305.523522,34751.093240
4.4740,1.052093,23774.356667,18971.879738,34150.435621
4.4760,1.049249,12371.598183,11515.058236,20728.154074
